date,pm25,pm10,o3,no2,so2,co,temp,dewp,visib,fog,AQI
2020-01-01,153.0,65.0,5.0,25.0,4.0,15.0,21.38888888888889,17.055555555555557,0.06858,False,203
2020-01-02,118.0,44.0,6.0,21.0,3.0,10.0,21.833333333333332,18.277777777777782,0.08128,False,183
2020-01-03,59.0,44.0,6.0,21.0,3.0,12.0,22.555555555555554,18.22222222222222,0.12954,False,153
2020-01-04,70.0,46.0,6.0,18.0,2.0,9.0,20.888888888888886,19.055555555555557,0.07619999999999999,False,158
2020-01-05,66.0,47.0,7.0,17.0,2.0,9.0,21.555555555555557,18.88888888888889,0.08889999999999999,False,156
2020-01-06,63.0,51.0,6.0,22.0,2.0,13.0,22.722222222222225,19.055555555555557,0.1016,False,159
2020-01-07,84.0,48.0,6.0,18.0,3.0,12.0,22.11111111111111,19.555555555555557,0.07365999999999999,False,166
2020-01-08,62.0,49.0,6.0,22.0,4.0,11.0,23.333333333333332,18.5,0.12446,False,154
2020-01-09,70.0,41.0,6.0,15.0,3.0,8.0,23.61111111111111,19.222222222222218,0.11683999999999999,False,158
2020-01-10,52.0,42.0,6.0,12.0,3.0,9.0,23.944444444444443,18.77777777777778,0.12446,False,142
2020-01-11,57.0,38.0,7.0,13.0,4.0,8.0,19.61111111111111,15.0,0.13462,False,152
2020-01-12,61.0,77.0,4.0,19.0,8.0,14.0,16.72222222222222,10.722222222222221,0.15239999999999998,False,176
2020-01-13,149.0,90.0,5.0,28.0,8.0,18.0,16.72222222222222,15.11111111111111,0.0508,False,218
2020-01-14,171.0,37.0,6.0,13.0,3.0,7.0,20.0,17.83333333333333,0.038099999999999995,False,221
2020-01-15,54.0,41.0,6.0,15.0,6.0,12.0,23.111111111111107,18.77777777777778,0.14478,False,147
2020-01-16,60.0,36.0,8.0,13.0,5.0,8.0,21.5,16.944444444444443,0.14731999999999998,False,153
2020-01-17,62.0,49.0,8.0,12.0,3.0,10.0,15.166666666666666,12.111111111111109,0.11176,False,154
2020-01-18,97.0,36.0,10.0,10.0,3.0,7.0,14.777777777777779,13.277777777777779,0.08128,False,172
2020-01-19,66.0,46.0,12.0,13.0,3.0,11.0,14.444444444444445,10.777777777777779,0.14223999999999998,False,156
2020-01-20,92.0,67.0,7.0,20.0,4.0,15.0,14.722222222222221,13.222222222222221,0.05841999999999999,True,193
2020-01-21,140.0,56.0,9.0,15.0,3.0,14.0,18.833333333333336,16.666666666666668,0.038099999999999995,True,195
2020-01-22,111.0,31.0,12.0,9.0,2.0,7.0,21.5,19.055555555555557,0.07619999999999999,True,180
2020-01-23,53.0,23.0,11.0,6.0,2.0,5.0,23.388888888888886,20.055555555555554,0.11938,False,144
2020-01-24,43.0,19.0,17.0,5.0,2.0,4.0,21.27777777777778,20.0,0.09144,False,119
2020-01-25,35.0,15.0,18.0,9.0,2.0,5.0,15.61111111111111,12.333333333333336,0.15239999999999998,False,99
2020-01-26,23.0,24.0,15.0,9.0,3.0,5.0,15.88888888888889,8.277777777777779,0.15748,False,74
2020-01-27,36.0,36.0,14.0,9.0,3.0,5.0,14.722222222222221,7.055555555555557,0.15748,False,102
2020-01-28,62.0,46.0,14.0,7.0,3.0,5.0,14.722222222222221,7.444444444444445,0.15748,False,154
2020-01-29,86.0,56.0,13.0,16.0,3.0,8.0,14.222222222222221,8.166666666666668,0.1397,False,167
2020-01-30,115.0,57.0,9.0,26.0,5.0,10.0,15.777777777777779,6.833333333333332,0.13716,False,182
2020-01-31,109.0,70.0,10.0,20.0,4.0,9.0,17.333333333333332,10.444444444444443,0.13716,False,179
2020-02-01,142.0,83.0,12.0,15.0,4.0,10.0,15.944444444444445,13.444444444444446,0.05841999999999999,False,196
2020-02-02,171.0,60.0,14.0,10.0,3.0,13.0,18.055555555555557,16.055555555555557,0.038099999999999995,False,221
2020-02-03,124.0,15.0,18.0,1.0,3.0,5.0,16.38888888888889,14.944444444444445,0.10668,False,259
2020-02-04,29.0,24.0,19.0,1.0,4.0,9.0,14.000000000000002,12.444444444444445,0.13716,False,259
2020-02-05,46.0,58.0,6.0,6.0,4.0,15.0,14.5,13.333333333333334,0.10668,True,193
2020-02-06,107.0,57.0,2.0,6.0,3.0,15.0,17.61111111111111,16.11111111111111,0.07365999999999999,True,193
2020-02-07,108.0,33.0,2.0,18.8,4.0,8.0,18.833333333333336,17.27777777777778,0.08128,False,178
2020-02-08,58.0,15.0,5.0,18.8,3.0,5.0,16.72222222222222,14.11111111111111,0.1397,False,152
2020-02-09,27.0,43.0,3.0,18.8,7.0,11.0,14.88888888888889,11.444444444444445,0.15748,False,126
2020-02-10,77.0,52.0,8.0,18.8,5.0,11.0,16.88888888888889,13.277777777777779,0.10413999999999998,False,162
2020-02-11,99.0,57.0,4.0,26.0,4.0,14.0,19.333333333333332,16.666666666666668,0.06095999999999999,False,176
2020-02-12,108.0,42.0,8.0,21.0,3.0,15.0,20.777777777777782,18.833333333333336,0.04826,True,193
2020-02-13,81.0,30.0,14.0,16.0,3.0,12.0,21.555555555555557,20.611111111111107,0.030479999999999997,True,164
2020-02-14,51.0,40.0,15.0,18.0,3.0,12.0,23.555555555555557,21.722222222222218,0.08128,True,143
2020-02-15,62.0,27.0,15.0,12.0,4.0,4.0,24.0,19.27777777777778,0.12446,False,154
2020-02-16,36.0,40.0,13.0,17.0,6.0,6.0,17.666666666666668,6.500000000000002,0.15748,False,102
2020-02-17,64.0,52.0,14.0,28.0,15.0,8.0,17.555555555555557,5.888888888888889,0.15748,False,155
2020-02-18,84.0,63.0,7.0,33.0,18.0,10.0,17.72222222222222,5.777777777777777,0.15748,False,166
2020-02-19,116.0,86.0,6.0,25.0,8.0,11.0,18.77777777777778,12.0,0.11683999999999999,False,182
2020-02-20,160.0,98.0,6.0,26.0,5.0,12.0,18.111111111111107,15.944444444444445,0.0254,False,210
2020-02-21,189.0,82.0,16.0,30.0,5.0,16.0,19.222222222222218,16.944444444444443,0.0254,True,239
2020-02-22,168.0,71.0,13.0,32.0,5.0,14.0,19.444444444444443,16.944444444444443,0.043179999999999996,True,218
2020-02-23,137.0,51.0,12.0,25.0,4.0,9.0,20.944444444444443,16.11111111111111,0.09398,False,193
2020-02-24,90.0,47.0,7.0,20.0,4.0,9.0,21.77777777777778,17.444444444444443,0.1016,False,169
2020-02-25,81.0,42.0,5.0,29.0,4.0,13.0,21.833333333333332,17.77777777777778,0.10668,False,164
2020-02-26,65.0,41.0,7.0,24.0,4.0,10.0,22.722222222222225,17.72222222222222,0.11176,False,156
2020-02-27,66.0,33.0,7.0,18.0,3.0,9.0,24.055555555555557,18.166666666666668,0.13716,False,156
2020-02-28,48.0,34.0,11.0,16.0,3.0,7.0,23.88888888888889,18.77777777777778,0.13208,False,132
2020-02-29,47.0,32.0,12.0,15.0,3.0,8.0,23.77777777777778,19.27777777777778,0.12446,False,129
2020-03-01,51.0,28.0,11.0,14.0,3.0,9.0,24.055555555555557,20.38888888888889,0.13208,False,139
2020-03-02,43.0,22.0,11.0,15.0,3.0,6.0,23.166666666666668,20.11111111111111,0.13462,False,119
2020-03-03,34.0,23.0,28.0,17.0,4.0,6.0,22.83333333333333,20.555555555555557,0.13716,False,97
2020-03-04,38.0,31.0,8.0,13.0,4.0,9.0,17.27777777777778,14.88888888888889,0.14731999999999998,False,107
2020-03-05,51.0,61.0,10.0,22.0,6.0,12.0,16.72222222222222,13.88888888888889,0.14223999999999998,False,143
2020-03-06,112.0,45.0,9.0,21.0,4.0,12.0,20.27777777777778,16.88888888888889,0.07619999999999999,False,180
2020-03-07,72.0,45.0,17.0,18.0,3.0,9.0,21.944444444444443,19.166666666666668,0.06858,False,160
2020-03-08,76.0,54.0,33.0,18.0,3.0,9.0,25.0,21.444444444444443,0.07619999999999999,False,162
2020-03-09,100.0,45.0,17.0,17.0,4.0,7.0,26.944444444444443,21.27777777777778,0.0635,False,174
2020-03-10,70.0,52.0,15.0,28.0,6.0,12.0,23.5,15.666666666666666,0.14986,False,158
2020-03-11,83.0,40.0,13.0,21.0,4.0,13.0,21.888888888888893,16.666666666666668,0.10413999999999998,False,165
2020-03-12,71.0,40.0,14.0,14.0,4.0,11.0,23.111111111111107,20.444444444444443,0.06604,False,159
2020-03-13,74.0,37.0,13.0,16.0,5.0,8.0,24.444444444444443,21.722222222222218,0.08381999999999999,False,161
2020-03-14,60.0,51.0,10.0,18.0,6.0,9.0,21.555555555555557,16.5,0.15494,False,153
